Observation ID,Date,Longitude,latitude,Aspect,Area,avalanche_size,Type,Trigger,avalanche_occurred
2eab4606-9bd5-4076-8a9d-ec418c8a40b7,2021-12-10 07:00:00+00:00,-106.6497244,37.6707859,N,Southern San Juan,1.5,SS,N,1
11a72e28-ed86-46db-a0dd-2b7a4dd8fe68,2021-12-10 07:00:00+00:00,-107.073432,38.9760283,NE,Gunnison,2.0,SS,N,1
21ce9795-3485-44fb-a7f2-ceecd7e58f00,2021-12-10 07:00:00+00:00,-106.92443,39.29493,NE,Aspen,1.0,SS,N,1
b9590bca-4be3-4e7f-8dd7-56fe876efb46,2021-12-10 07:00:00+00:00,-107.0446639,38.8870031,E,Gunnison,2.0,SS,N,1
a27e163d-7a69-4857-b1c4-039773646e49,2021-12-10 07:00:00+00:00,-106.57729,38.83853,N,Gunnison,1.0,SS,N,1
ddf5b344-fe6a-403d-80a7-14d7bb0467d2,2021-12-10 07:00:00+00:00,-107.1167631,38.9115644,SE,Gunnison,2.0,SS,N,1
5cf46c5b-d1fc-4dcb-821b-459f4316d7ff,2021-12-10 07:00:00+00:00,-106.7851308,39.0472674,NW,Aspen,2.0,SS,N,1
f6c43007-77cd-40fb-8d31-3a989e4d90b5,2021-12-10 07:00:00+00:00,-107.1111303,38.9518013,NE,Gunnison,2.5,SS,N,1
6942cd8a-8ce2-42b7-8682-5ad7a8a333e0,2021-12-10 07:00:00+00:00,-107.1037496,38.9819264,E,Gunnison,2.0,SS,N,1
0b68636e-de47-4274-b87e-e82eb58f3b89,2021-12-10 07:00:00+00:00,-107.90921,37.81106,E,Northern San Juan,1.5,SS,N,1
1fc4fe57-071e-48ed-b35d-d887832bef8f,2021-12-10 07:00:00+00:00,-106.1641805,39.4280291,NE,Vail & Summit County,1.0,SS,U,1
fcc76243-2b0f-4606-a738-1f77f6483bd2,2021-12-10 07:00:00+00:00,-107.7088559,37.7611817,E,Southern San Juan,2.0,SS,N,1
641fa74d-e0d5-4dce-aaa9-4176e55aada3,2021-12-10 07:00:00+00:00,-107.1454697,38.9817795,S,Gunnison,2.0,SS,N,1
0b68636e-de47-4274-b87e-e82eb58f3b89,2021-12-10 07:00:00+00:00,-107.90921,37.81106,NW,Northern San Juan,2.0,SS,N,1
11a72e28-ed86-46db-a0dd-2b7a4dd8fe68,2021-12-10 07:00:00+00:00,-107.073432,38.9760283,E,Gunnison,1.5,SS,N,1
52175e41-5881-42f1-bf4f-0f7b5d2bcd54,2021-12-10 07:00:00+00:00,-107.2902,37.9717,NE,Northern San Juan,1.0,SS,N,1
2db9d27b-8d12-4010-995e-d79c2cb48d2c,2021-12-10 07:00:00+00:00,-107.0808216,38.8825061,W,Gunnison,2.0,SS,N,1
4c574e30-c03c-48d7-9d39-1aece869e06a,2021-12-10 07:00:00+00:00,-108.0976823,37.3733546,N,Southern San Juan,1.0,SS,N,1
83589a34-bd54-4f93-b9a8-6a4994cca1d2,2021-12-10 07:00:00+00:00,-107.1217048,38.9078581,NE,Gunnison,3.0,SS,N,1
6e1e3d32-6e88-47e3-a74a-3a840e3128e0,2021-12-10 07:00:00+00:00,-107.2902,37.9717,E,Northern San Juan,2.0,SS,N,1
994ffda5-7603-4c63-9358-d30c1b5174cd,2021-12-10 07:00:00+00:00,-107.6800901,37.8910975,NE,Northern San Juan,1.5,SS,N,1
b9590bca-4be3-4e7f-8dd7-56fe876efb46,2021-12-10 07:00:00+00:00,-107.0446639,38.8870031,SE,Gunnison,1.5,SS,N,1
082b658f-9905-4459-8d54-2adb3cabd004,2021-12-10 07:00:00+00:00,-107.1463591,39.2384878,E,Aspen,1.5,SS,N,1
994ffda5-7603-4c63-9358-d30c1b5174cd,2021-12-10 07:00:00+00:00,-107.6800901,37.8910975,N,Northern San Juan,1.5,SS,N,1
baa59761-d88e-4f5a-8215-a02126a01006,2021-12-10 07:00:00+00:00,-107.044539,38.907796,E,Gunnison,2.0,SS,N,1
0b68636e-de47-4274-b87e-e82eb58f3b89,2021-12-10 07:00:00+00:00,-107.90921,37.81106,NE,Northern San Juan,2.0,SS,N,1
b498d9c7-116b-46eb-b7af-149a3f91722a,2021-12-10 07:00:00+00:00,-107.11027,38.9521461,E,Gunnison,2.0,SS,N,1
bb058964-0947-4395-8237-bd22af02b0f7,2021-12-10 07:00:00+00:00,-107.7040628,37.7107396,NE,Southern San Juan,2.0,SS,N,1
baa59761-d88e-4f5a-8215-a02126a01006,2021-12-10 07:00:00+00:00,-107.044539,38.907796,NE,Gunnison,2.0,SS,N,1
6b52e5c0-7c3d-4c67-8da2-97e8b7ffc0fe,2021-12-10 07:00:00+00:00,-108.0253579,37.391722,E,Southern San Juan,2.0,SS,N,1
bb5bcc6a-13f8-4c4b-b9bc-80adf86b094f,2021-12-10 07:00:00+00:00,-107.1222074,39.0246926,NE,Aspen,2.0,SS,N,1
fcc76243-2b0f-4606-a738-1f77f6483bd2,2021-12-10 07:00:00+00:00,-107.7088559,37.7611817,E,Southern San Juan,2.0,SS,N,1
6e1e3d32-6e88-47e3-a74a-3a840e3128e0,2021-12-10 07:00:00+00:00,-107.2902,37.9717,NE,Northern San Juan,2.0,SS,N,1
0b68636e-de47-4274-b87e-e82eb58f3b89,2021-12-10 07:00:00+00:00,-107.90921,37.81106,NW,Northern San Juan,2.0,SS,N,1
5cf46c5b-d1fc-4dcb-821b-459f4316d7ff,2021-12-10 07:00:00+00:00,-106.7851308,39.0472674,NW,Aspen,2.0,SS,N,1
af5e75e9-ae93-49d9-87b9-aa19e41df48f,2021-12-10 07:00:00+00:00,-106.9862303,38.9408686,NE,Gunnison,1.5,SS,N,1
f54bb328-8523-4530-9dea-b4670e0963bf,2021-12-10 07:00:00+00:00,-107.1150962,38.935658,NE,Gunnison,2.5,SS,N,1
9b95d299-4586-49b9-8f27-6fbe75526d5c,2021-12-10 07:00:00+00:00,-107.1189359,38.9222448,NE,Gunnison,2.5,SS,N,1
0d3d511c-bf0c-4b73-a1a9-b31b302d9b2b,2021-12-10 07:00:00+00:00,-106.8578274,38.9158104,E,Gunnison,1.5,SS,N,1
81c3e617-0ff5-4028-92dd-52552cfa4274,2021-12-10 07:00:00+00:00,-107.122833,38.9085461,E,Gunnison,2.0,SS,N,1
ac831970-23a0-44ab-a451-6451f65bc9ff,2021-12-10 07:00:00+00:00,-107.6843143,37.8941831,NW,Northern San Juan,2.0,SS,N,1
80b6c0d3-e5ff-40b0-a555-38c390fae44b,2021-12-10 07:00:00+00:00,-107.1011788,38.8327531,NE,Gunnison,2.0,,N,1
baa59761-d88e-4f5a-8215-a02126a01006,2021-12-10 07:00:00+00:00,-107.044539,38.907796,NE,Gunnison,1.5,SS,N,1
6e1e3d32-6e88-47e3-a74a-3a840e3128e0,2021-12-10 07:00:00+00:00,-107.2902,37.9717,N,Northern San Juan,1.5,SS,N,1
816afb65-325e-433e-a1d1-0f5ab7456385,2021-12-10 07:00:00+00:00,-106.7976576,39.0529258,NE,Aspen,1.5,SS,N,1
baa59761-d88e-4f5a-8215-a02126a01006,2021-12-10 07:00:00+00:00,-107.044539,38.907796,NW,Gunnison,1.5,SS,N,1
35cece15-5688-4145-b186-e6297a37d8f2,2021-12-10 07:00:00+00:00,-107.0439561,38.9999721,NE,Gunnison,2.0,SS,N,1
bb3c8c30-6cb3-4a46-9a6d-ab17c3f2cca2,2021-12-10 07:00:00+00:00,-107.0756244,38.864529,E,Gunnison,2.0,SS,N,1
6e96c823-6389-4ab0-b25f-01cac546b8e8,2021-12-10 07:00:00+00:00,-107.77769,37.705,N,Southern San Juan,1.5,SS,N,1
9babdd4b-4290-4577-9184-62022189a29d,2021-12-10 07:00:00+00:00,-107.1001698,38.8496222,NW,Gunnison,1.5,SS,N,1
d136a011-84d8-46b6-9fa3-b64fe789ff3f,2021-12-10 07:00:00+00:00,-107.1554567,39.2640713,NE,Aspen,2.0,SS,N,1
21ce9795-3485-44fb-a7f2-ceecd7e58f00,2021-12-10 07:00:00+00:00,-106.92443,39.29493,NE,Aspen,2.5,SS,N,1
2fdf5f7a-b36f-443b-a8a6-e909c960ade6,2021-12-10 07:00:00+00:00,-107.1223168,38.9059928,SE,Gunnison,2.0,SS,N,1
ea47f5cb-4307-44e6-86d1-c089055183c6,2021-12-10 07:00:00+00:00,-107.0990288,39.015226,NE,Aspen,2.0,SS,N,1
e3ee7478-b2ef-4465-b082-598eeed38ec9,2021-12-10 07:00:00+00:00,-107.0693341,38.9950505,E,Aspen,2.0,SS,N,1
6e1e3d32-6e88-47e3-a74a-3a840e3128e0,2021-12-10 07:00:00+00:00,-107.2902,37.9717,NE,Northern San Juan,1.5,SS,N,1
3eea1113-96a4-4aef-8d8a-f549b1b0ce3f,2021-12-10 07:00:00+00:00,-107.099254,38.9717328,E,Gunnison,2.0,SS,N,1
c454c53e-a409-4c5d-a8fe-52dab6f8e5ab,2021-12-10 07:00:00+00:00,-107.0303061,38.8394743,NE,Gunnison,2.0,SS,N,1
2ec6d397-64f2-4300-bc20-24f53d069b5b,2021-12-10 07:00:00+00:00,-107.0826432,38.9775684,NE,Gunnison,2.0,,N,1
1ddf66e1-89fb-4a03-938b-b6650762b525,2021-12-10 07:00:00+00:00,-107.0632546,38.8886568,NE,Gunnison,1.5,SS,N,1
a0c688e6-3f73-4d0f-93bf-63cbff2158fe,2021-12-10 07:00:00+00:00,-107.085673,38.953347,N,Gunnison,2.0,SS,N,1
