station_id,station_triplet,name,latitude,longitude,elevation_ft,elevation_m,county,huc,active
827,827:CO:SNTL,Trapper Lake,39.99881,-107.23618,9750.0,2971.8,Garfield,140500050101,True
829,829:CO:SNTL,Trinchera,37.35296,-105.23259,10860.0,3310.128,Costilla,130100020601,True
838,838:CO:SNTL,University Camp,40.03307,-105.57562,10330.0,3148.5840000000003,Boulder,101900050401,True
839,839:CO:SNTL,Upper Rio Grande,37.72172,-107.25971,9370.0,2855.976,Hinsdale,130100010106,True
840,840:CO:SNTL,Upper San Juan,37.48563,-106.83528,10140.0,3090.672,Mineral,140801010203,True
1141,1141:CO:SNTL,Upper Taylor,38.99071,-106.74504,10710.0,3264.4080000000004,Gunnison,140200010101,True
1005,1005:CO:SNTL,Ute Creek,37.6148,-105.37322,10720.0,3267.456,Costilla,130100020604,True
842,842:CO:SNTL,Vail Mountain,39.61765,-106.38019,10290.0,3136.3920000000003,Eagle,140100030102,True
843,843:CO:SNTL,Vallecito,37.48524,-107.50748,10740.0,3273.552,La Plata,140801011105,True
1188,1188:CO:SNTL,Wager Gulch,37.88248,-107.36428,11110.0,3386.328,Hinsdale,140200020602,True
1160,1160:CO:SNTL,Weminuche Creek,37.51968,-107.32139,10730.0,3270.5040000000004,Hinsdale,140801020203,True
857,857:CO:SNTL,Whiskey Ck,37.21423,-105.12262,10260.0,3127.248,Las Animas,110200100102,True
1042,1042:CO:SNTL,Wild Basin,40.201,-105.6025,9410.0,2868.168,Boulder,101900050202,True
869,869:CO:SNTL,Willow Creek Pass,40.34734,-106.0952,9520.0,2901.6960000000004,Grand,140100010102,True
870,870:CO:SNTL,Willow Park,40.43397,-105.73588,10710.0,3264.4080000000004,Larimer,101900060204,True
874,874:CO:SNTL,Wolf Creek Summit,37.47903,-106.80234,10930.0,3331.464,Mineral,140801010203,True
1033,1033:CO:SNTL,Zirkel,40.79492,-106.59544,9320.0,2840.7360000000003,Jackson,101800010202,True
