Longitude,latitude,elevation,slope,aspect_degrees,aspect_cardinal
-106.2969116,39.5989711,3450.0,30.056341608313677,82.59458240105847,E
-106.952935,39.1630382,3706.0,24.02252111192947,149.50477327719653,SE
-106.1373115,39.4363198,3811.0,8.987865621069995,52.028396238949604,NE
-106.8335493,40.845361,2964.0,10.30228878011444,111.80140948635182,E
-106.7348552,40.8336717,3226.0,12.909924712613899,355.7777697938573,N
-106.1224979,39.5089952,3622.0,26.184244917049362,229.01417569541104,SW
-106.7389322,40.8353327,3137.0,9.258560186722526,324.9638041899072,NW
-105.8343666,39.6367641,3810.0,33.74550094065456,235.58562492210103,SW
-105.8445805,39.64284,3897.0,39.30298749976237,142.40541759894154,SE
-107.2617126,39.9994817,3276.0,30.178488192915875,99.36345124574484,E
-105.8521702,39.6129232,3700.0,31.777394933139544,110.57252372919903,E
